"","title_orig","price","retail_price","currency_buyer","units_sold","uses_ad_boosts","rating","rating_count","rating_five_count","rating_four_count","rating_three_count","rating_two_count","rating_one_count","badges_count","badge_local_product","badge_product_quality","badge_fast_shipping","tags","product_color","sizes","product_variation_inventory","countries_shipped_to","inventory_total","has_urgency_banner","urgency_text","origin_country","merchant_title","merchant_name","merchant_info_subtitle","merchant_rating_count","merchant_rating","merchant_id","product_url","product_picture","product_id","theme","crawl_month","image_tags"
"1","2020 Summer Vintage Flamingo Print  Pajamas Set Casual Loose T Shirt Top And Elastic Shorts Women Sleepwear Night Wear Loungewear Sets",16,14,"EUR",100,0,3.76,54,26,8,10,1,9,0,0,0,0,"Summer,Fashion,womenunderwearsuit,printedpajamasset,womencasualshort,Women's Fashion,flamingo,loungewearset,Casual,Shirt,casualsleepwear,Shorts,flamingotshirt,Elastic,Vintage,Tops,tshirtandshortsset,Women,Sleepwear,Print,womenpajamasset,womennightwear,Pajamas,womensleepwearset","white","M",50,34,50,1,"Quantité limitée !","CN","zgrdejia","zgrdejia","(568 notes)",568,4.12852112676056,"595097d6a26f6e070cb878d1","https://www.wish.com/c/5e9ae51d43d6a96e303acdb0","https://contestimg.wish.com/api/webimage/5e9ae51d43d6a96e303acdb0-medium.jpg","5e9ae51d43d6a96e303acdb0","summer","2020-08","null"
"2","Women's Casual Summer Sleeveless Sexy Mini Dress",8,22,"EUR",20000,1,3.45,6135,2269,1027,1118,644,1077,0,0,0,0,"Mini,womens dresses,Summer,Patchwork,fashion dress,Dress,Mini dress,Women's Fashion,Women S Clothing,backless,party,summer dresses,sleeveless,sexy,Casual","green","XS",50,41,50,1,"Quantité limitée !","CN","SaraHouse","sarahouse","83 % avis positifs (17,752 notes)",17752,3.89967327625056,"56458aa03a698c35c9050988","https://www.wish.com/c/58940d436a0d3d5da4e95a38","https://contestimg.wish.com/api/webimage/58940d436a0d3d5da4e95a38-medium.jpg","58940d436a0d3d5da4e95a38","summer","2020-08","null"
"3","2020 New Arrival Women Spring and Summer Beach Wear Long Thin Cardigan Open Front Kimono Green Leaf Printed Chiffon Cardigan S-5XL",8,43,"EUR",100,0,3.57,14,5,4,2,0,3,0,0,0,0,"Summer,cardigan,women beachwear,chiffon,Sexy women,Coat,summercardigan,openfront,short sleeves,Swimsuit,Women's Fashion,leaf,Green,printed,Spring,longcardigan,Women,Beach,kimono","multicolor","XS",1,36,50,1,"Quantité limitée !","CN","hxt520","hxt520","86 % avis positifs (295 notes)",295,3.98983050847458,"5d464a1ffdf7bc44ee933c65","https://www.wish.com/c/5ea10e2c617580260d55310a","https://contestimg.wish.com/api/webimage/5ea10e2c617580260d55310a-medium.jpg","5ea10e2c617580260d55310a","summer","2020-08","null"
"4","Hot Summer Cool T Shirt for Women Fashion Tops Bee Printed Letters Short Sleeve O Neck Cotton T-shirts Tops Tee Clothing",8,8,"EUR",5000,1,4.03,579,295,119,87,42,36,0,0,0,0,"Summer,Shorts,Cotton,Cotton T Shirt,Sleeve,printedletterstop,Clothing,Tops,Necks,short sleeves,Women's Fashion,Women Clothing,printed,Women,tshirtforwomen,Fashion,T Shirts,Shirt","black","M",50,41,50,NA,"","CN","allenfan","allenfan","(23,832 notes)",23832,4.02043470963411,"58cfdefdacb37b556efdff7c","https://www.wish.com/c/5cedf17ad1d44c52c59e4aca","https://contestimg.wish.com/api/webimage/5cedf17ad1d44c52c59e4aca-medium.jpg","5cedf17ad1d44c52c59e4aca","summer","2020-08","null"
"5","Women Summer Shorts Lace Up Elastic Waistband Loose Thin Casual Pants Plus Size S-8XL",2.72,3,"EUR",100,1,3.1,20,6,4,2,2,6,0,0,0,0,"Summer,Plus Size,Lace,Casual pants,Bottom,pants,Loose,Women's Fashion,Shorts,Lace Up,Elastic,Casual,Women","yellow","S",1,35,50,1,"Quantité limitée !","CN","youngpeopleshop","happyhorses","85 % avis positifs (14,482 notes)",14482,4.00158817842839,"5ab3b592c3911a095ad5dadb","https://www.wish.com/c/5ebf5819ebac372b070b0e70","https://contestimg.wish.com/api/webimage/5ebf5819ebac372b070b0e70-medium.jpg","5ebf5819ebac372b070b0e70","summer","2020-08","null"
"6","Plus Size Summer Women Casual Sleeveless Rompers Jumpsuits Solid Color Suspender Ttrousers Loose Overalls",3.92,9,"EUR",10,0,5,1,1,0,0,0,0,0,0,0,0,"Deep V-Neck,Summer,Plus Size,Spaghetti Strap,Overalls,Women's Fashion,sleeveless,Women,Casual,jumpsuit","blue","XS",1,40,50,NA,"","CN","zhoulinglinga","zhoulinglinga","75 % avis positifs (65 notes)",65,3.50769230769231,"5e4b9c3801ba9d210036fc5a","https://www.wish.com/c/5ec645bafd107a02279c8c54","https://contestimg.wish.com/api/webimage/5ec645bafd107a02279c8c54-medium.jpg","5ec645bafd107a02279c8c54","summer","2020-08","null"
"7","Women Fashion Loose Lace Blouse V Neck Bat Sleeves T Shirt Hollow Out Tops Plus Size XS-8XL",7,6,"EUR",50000,0,3.84,6742,3172,1352,971,490,757,0,0,0,0,"blouse,Women,lace t shirt,summer t-shirts,Lace,Sleeve,Women Blouse,loose shirt,Short Sleeve Blouses,Pure Color,Womens Blouse,Bat,lace shirts,Necks,Women's Fashion,Plus Size,loose t-shirt,Short Sleeve T-Shirt,Fashion,Tops,Shirt","white","XS",50,31,50,NA,"","CN","Unique Li Fashion Shop","uniquelifashionshopbb657bfe91d211e598c7063a14dc88b5","86 % avis positifs (10,194 notes)",10194,4.07651559741024,"5652f4053a698c76dc9a3f37","https://www.wish.com/c/5c63a337d5e2ce4bbb3152cf","https://contestimg.wish.com/api/webimage/5c63a337d5e2ce4bbb3152cf-medium.jpg","5c63a337d5e2ce4bbb3152cf","summer","2020-08","null"
"8","Women's Baggy Tunic Dress Summer Dress Denim Dress Denim Shirt Dress Shift Dress",12,11,"EUR",1000,0,3.76,286,120,56,61,18,31,0,0,0,0,"Jeans,Fashion,tunic,Shirt,Summer,Dress,Denim,summer dress,denimjeansdres,short sleeves,casual dresses,Women's Fashion,Tunic dress,minishirtdres,Lines,mididre","blue","M",50,139,50,NA,"","CN","So Band","soband","(342 notes)",342,3.6812865497076,"5d45349676befe65691dcfbb","https://www.wish.com/c/5e0ae5ebc2efb76ccf0a3391","https://contestimg.wish.com/api/webimage/5e0ae5ebc2efb76ccf0a3391-medium.jpg","5e0ae5ebc2efb76ccf0a3391","summer","2020-08","null"
"9","Women's Summer Casual Dress Fashion Short Sleeve Slim Dress",11,84,"EUR",100,1,3.47,15,6,2,3,1,3,0,0,0,0,"slim dress,summer dress,womenshortsleevedre,Sleeve,Summer,Dress,slim,short sleeves,Women's Fashion,Shorts,boho dress,slimfitdre,Fashion,Casual","black","M",50,36,50,1,"Quantité limitée !","CN","chenxiangjunjun","chenxiangjunjun","82 % avis positifs (330 notes)",330,3.8030303030303,"5d42980e8388970d32294ddc","https://www.wish.com/c/5e6f1fb7fe4a5bb4b8bf36e5","https://contestimg.wish.com/api/webimage/5e6f1fb7fe4a5bb4b8bf36e5-medium.jpg","5e6f1fb7fe4a5bb4b8bf36e5","summer","2020-08","null"
"10","Summer Women Plus Size Casual Loose V Neck Short Sleeve Floral Printed Blouse Tops",5.78,22,"EUR",5000,0,3.6,687,287,128,92,68,112,0,0,0,0,"blouse,Summer,Plus Size,Floral print,Necks,Sleeve,summer shirt,Loose,short sleeves,Casual,T Shirts,Shorts,Fashion,Floral,Women,Women's Fashion,Tops,printed","beige","S",50,33,50,NA,"","CN","Luowei clothe","luoweiclothe","85 % avis positifs (5,534 notes)",5534,3.99981929887965,"5ba2251b4315d12ebce873fa","https://www.wish.com/c/5ccfaf238a8d535cec2dfb47","https://contestimg.wish.com/api/webimage/5ccfaf238a8d535cec2dfb47-medium.jpg","5ccfaf238a8d535cec2dfb47","summer","2020-08","null"
